"filename", "language", "YAML", "XML", "JSON", "HTML", "Dart", "Markdown", "C++", "Groovy", "Swift", "Properties", "Java", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/lib/screens/admin.dart", "Dart", 0, 0, 0, 0, 95, 0, 0, 0, 0, 0, 0, 1, 4, 100
"/home/satendra/Workspace/campus health/project/cht/lib/screens/fetch.dart", "Dart", 0, 0, 0, 0, 55, 0, 0, 0, 0, 0, 0, 1, 4, 60
"/home/satendra/Workspace/campus health/project/cht/lib/screens/home.dart", "Dart", 0, 0, 0, 0, 516, 0, 0, 0, 0, 0, 0, 21, 12, 549
"/home/satendra/Workspace/campus health/project/cht/lib/screens/report.dart", "Dart", 0, 0, 0, 0, 371, 0, 0, 0, 0, 0, 0, 15, 2, 388
"/home/satendra/Workspace/campus health/project/cht/lib/screens/sign_in.dart", "Dart", 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/dataContainer.dart", "Dart", 0, 0, 0, 0, 34, 0, 0, 0, 0, 0, 0, 0, 3, 37
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart.dart", "Dart", 0, 0, 0, 0, 112, 0, 0, 0, 0, 0, 0, 0, 5, 117
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/piechart/piechart_draw.dart", "Dart", 0, 0, 0, 0, 35, 0, 0, 0, 0, 0, 0, 11, 10, 56
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBar.dart", "Dart", 0, 0, 0, 0, 37, 0, 0, 0, 0, 0, 0, 0, 2, 39
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/progressBars/progressBarHorizontal.dart", "Dart", 0, 0, 0, 0, 41, 0, 0, 0, 0, 0, 0, 0, 2, 43
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/drawer/homeDrawer.dart", "Dart", 0, 0, 0, 0, 220, 0, 0, 0, 0, 0, 0, 0, 4, 224
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/report/reportWidget.dart", "Dart", 0, 0, 0, 0, 377, 0, 0, 0, 0, 0, 0, 18, 6, 401
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/trash.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 2
"/home/satendra/Workspace/campus health/project/cht/lib/services/AuthService.dart", "Dart", 0, 0, 0, 0, 72, 0, 0, 0, 0, 0, 0, 1, 11, 84
"/home/satendra/Workspace/campus health/project/cht/lib/services/DatabaseService.dart", "Dart", 0, 0, 0, 0, 44, 0, 0, 0, 0, 0, 0, 2, 11, 57
"/home/satendra/Workspace/campus health/project/cht/lib/services/ReportService.dart", "Dart", 0, 0, 0, 0, 140, 0, 0, 0, 0, 0, 0, 2, 15, 157
"/home/satendra/Workspace/campus health/project/cht/lib/services/syncService.dart", "Dart", 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 2, 4
"/home/satendra/Workspace/campus health/project/cht/lib/test/widget_test.dart", "Dart", 0, 0, 0, 0, 14, 0, 0, 0, 0, 0, 0, 10, 7, 31
"/home/satendra/Workspace/campus health/project/cht/lib/util/constants.dart", "Dart", 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 0, 0, 5, 24
"/home/satendra/Workspace/campus health/project/cht/lib/util/ui_helper.dart", "Dart", 0, 0, 0, 0, 32, 0, 0, 0, 0, 0, 0, 0, 3, 35
"/home/satendra/Workspace/campus health/project/cht/pubspec.yaml", "YAML", 30, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 19, 93
"/home/satendra/Workspace/campus health/project/cht/web/index.html", "HTML", 0, 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 15, 5, 46
"/home/satendra/Workspace/campus health/project/cht/web/manifest.json", "JSON", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"Total", "-", 30, 5300, 260, 26, 2453, 13, 1, 83, 12, 8, 490, 245, 280, 9201
