"filename", "language", "Dart", "Markdown", "Groovy", "Properties", "XML", "JSON", "Java", "YAML", "HTML", "C++", "Swift", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/android/settings_aar.gradle", "Groovy", 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/satendra/Workspace/campus health/project/cht/assets/appLogo.svg", "XML", 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 0, 0, 49
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/AppDelegate.swift", "Swift", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 0, 2, 14
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/AppIcon.appiconset/Contents.json", "JSON", 0, 0, 0, 0, 0, 122, 0, 0, 0, 0, 0, 0, 1, 123
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/LaunchImage.imageset/Contents.json", "JSON", 0, 0, 0, 0, 0, 23, 0, 0, 0, 0, 0, 0, 1, 24
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Assets.xcassets/LaunchImage.imageset/README.md", "Markdown", 0, 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 2
"/home/satendra/Workspace/campus health/project/cht/lib/controllers/app_controller.dart", "Dart", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 44
"/home/satendra/Workspace/campus health/project/cht/lib/controllers/home_screen_controller.dart", "Dart", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19
"/home/satendra/Workspace/campus health/project/cht/lib/controllers/report_controller.dart", "Dart", 21, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"/home/satendra/Workspace/campus health/project/cht/lib/data/post_api_service.dart", "Dart", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 40
"/home/satendra/Workspace/campus health/project/cht/lib/main.dart", "Dart", 22, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 26
"/home/satendra/Workspace/campus health/project/cht/lib/models/index.dart", "Dart", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/satendra/Workspace/campus health/project/cht/lib/models/report.dart", "Dart", 105, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 9, 119
"/home/satendra/Workspace/campus health/project/cht/lib/models/user.dart", "Dart", 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 41
"/home/satendra/Workspace/campus health/project/cht/lib/screens/Register.dart", "Dart", 125, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 4, 135
"/home/satendra/Workspace/campus health/project/cht/lib/screens/admin.dart", "Dart", 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 100
"/home/satendra/Workspace/campus health/project/cht/lib/screens/auth.dart", "Dart", 170, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 10, 185
"/home/satendra/Workspace/campus health/project/cht/lib/screens/dateSelect.dart", "Dart", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 197, 5, 202
"/home/satendra/Workspace/campus health/project/cht/lib/screens/fetch.dart", "Dart", 66, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 72
