"filename", "language", "YAML", "Dart", "HTML", "C++", "XML", "Swift", "JSON", "Markdown", "Groovy", "Properties", "Java", "comment", "blank", "total"
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Base.lproj/LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 36, 0, 0, 0, 0, 0, 0, 1, 1, 38
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Base.lproj/Main.storyboard", "XML", 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 0, 1, 1, 27
"/home/satendra/Workspace/campus health/project/cht/ios/Runner/Runner-Bridging-Header.h", "C++", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2
"/home/satendra/Workspace/campus health/project/cht/lib/main.dart", "Dart", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 39
"/home/satendra/Workspace/campus health/project/cht/lib/models/index.dart", "Dart", 0, 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 13
"/home/satendra/Workspace/campus health/project/cht/lib/models/user.dart", "Dart", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"/home/satendra/Workspace/campus health/project/cht/lib/screens/Register.dart", "Dart", 0, 129, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 135
"/home/satendra/Workspace/campus health/project/cht/lib/screens/admin.dart", "Dart", 0, 95, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 100
"/home/satendra/Workspace/campus health/project/cht/lib/screens/dateSelect.dart", "Dart", 0, 118, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 5, 202
"/home/satendra/Workspace/campus health/project/cht/lib/screens/fetch.dart", "Dart", 0, 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 60
"/home/satendra/Workspace/campus health/project/cht/lib/screens/home.dart", "Dart", 0, 152, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 160
"/home/satendra/Workspace/campus health/project/cht/lib/screens/info.dart", "Dart", 0, 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"/home/satendra/Workspace/campus health/project/cht/lib/screens/report.dart", "Dart", 0, 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 2, 43
"/home/satendra/Workspace/campus health/project/cht/lib/screens/settingsScreen.dart", "Dart", 0, 42, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 45
"/home/satendra/Workspace/campus health/project/cht/lib/screens/sign_in.dart", "Dart", 0, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"/home/satendra/Workspace/campus health/project/cht/lib/screens/widgets/Data visualization/dataContainer.dart", "Dart", 0, 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 37
